,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
227,b'register submission date request',b'enter senddate acknowledgement',b'registrer date of publishing received request',b'entering senddate draft decision environmental permit',b'enter senddate procedure confirmation',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'no permit required for application',b'MER present',b'activities regular procedure',b'phased application',b'send procedure confirmation',b'publish',b'suspend term',b'extend procedure term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'treat subcases completeness',b'registrer date of publishing received request',b'subcases completeness completed',b'procedure change',b'request complete',b'phase application receptive',b'send letter in progress',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'activities regular procedure',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'create draft environtmental permit',b'generate draft decision environmental permit',b'phase concept draft decision ready',b'decided on draft decision environmental permit',b'enrich draft decision',b'phase draft decision made',b'open draft decision for inspection',b'publish official draft decision',b'phase draft decision made',b'send design decision to stakeholders',b'enter date advice on treatment of environmental permit',b'enter date draft decisionenvironmental permit',b'date draft decision for inspection',b'publication date draft decision',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'perspective on draft decision environmental permit received',b'final VVGB applications',b'treat subcase final VVGB',b'subcase final VVGB completed',b'VVGB positive',b'suspension ground applicable',b'creating environmental permit decision',b'generating decision environmental permit',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'register deadline',b'appeal logded',b'contested decision affected',b'set phase: phase permitting irrevocable',b'close case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
231,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'extend procedure term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'registrer date of publishing received request',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
232,b'enter senddate acknowledgement',b'register submission date request',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
235,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'enter senddate decision procedure term extension',b'enter date decision procedure term extension',b'enter senddate procedure confirmation',b'send procedure confirmation',b'extend procedure term',b'register number of days extension period',b'creating decision procedure term extension',b'decision procedure term extension',b'copy decision to extend procedure to stakeholders',b'registrer date of publishing received request',b'registrer date of publishing received request',b'suspend term',b'terminate on request',b'applicant is stakeholder',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'procedure change',b'request complete',b'phase application receptive',b'send letter in progress',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'activities regular procedure',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'generating decision environmental permit',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
236,b'register submission date request',b'enter senddate acknowledgement',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'enter date advice on treatment of environmental permit',b'reception through OLO',b'forward to the competent authority',b'regular procedure without MER',b'WAW permit aspect',b'activities regular procedure',b'detailed procedure applies',b'send procedure confirmation',b'phase application received',b'treat subcases completeness',b'registrer date of publishing received request',b'subcases completeness completed',b'send confirmation receipt',b'applicant is stakeholder',b'terminate on request',b'extend procedure term',b'request complete',b'WAW permit aspect',b'article 34  WABO applies',b'grounds for refusal',b'create draft environtmental permit',b'completed subcases content',b'phase advice known',b'treat subcases content',b'assessment of content completed',b'phase application receptive',b'generate draft decision environmental permit',b'phase concept draft decision ready',b'decided on draft decision environmental permit',b'enrich draft decision',b'enter date draft decisionenvironmental permit',b'phase draft decision made',b'open draft decision for inspection',b'term perspective on draft decision',b'phase draft decision made',b'publish official draft decision',b'entering senddate draft decision environmental permit',b'send design decision to stakeholders',b'date draft decision for inspection',b'perspective on draft decision environmental permit received',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
237,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'regular procedure without MER',b'send procedure confirmation',b'enter senddate retrieve missing data',b'applicant is stakeholder',b'terminate on request',b'treat subcases completeness',b'registrer date of publishing received request',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'extend procedure term',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
246,b'register submission date request',b'phase application received',b'reception through OLO',b'enter senddate acknowledgement',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'registrer date of publishing received request',b'registrer date of publishing received request',b'treat subcases completeness',b'subcases completeness completed',b'applicant is stakeholder',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'register date environmental permit decision',b'terminate on request',b'extend procedure term',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter senddate decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
249,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'regular procedure without MER',b'MER present',b'activities regular procedure',b'phased application',b'send procedure confirmation',b'publish',b'extend procedure term',b'applicant is stakeholder',b'treat subcases completeness',b'WAW permit aspect',b'subcases completeness completed',b'activities regular procedure',b'detailed procedure applies',b'enter date termination request received',b'register date decision terminate on request',b'enter senddate confirmation request',b'terminate on request',b'create decision terminate on request',b'decision terminate on request',b'phase procedure aborted',b'stop process after terminate on request',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
250,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'forward to the competent authority',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
252,b'register submission date request',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'send confirmation receipt',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'enter senddate retrieve missing data',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'applicant is stakeholder',b'treat subcases completeness',b'registrer date of publishing received request',b'subcases completeness completed',b'WAW permit aspect',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'assessment of content completed',b'phase advice known',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'terminate on request',b'creating environmental permit decision',b'register date environmental permit decision',b'enter senddate decision environmental permit',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
253,b'register submission date request',b'enter senddate procedure confirmation',b'registrer date of publishing received request',b'enter senddate procedure confirmation',b'enter senddate procedure confirmation',b'enter senddate acknowledgement',b'phase application received',b'reception through OLO',b'enter senddate retrieve missing data',b'enter date decision procedure term extension',b'enter senddate decision procedure term extension',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'send procedure confirmation',b'extend procedure term',b'creating decision procedure term extension',b'register number of days extension period',b'decision procedure term extension',b'enter objectionterm',b'copy decision to extend procedure to stakeholders',b'registrer date of publishing received request',b'treat subcases completeness',b'applicant is stakeholder',b'WAW permit aspect',b'subcases completeness completed',b'activities regular procedure',b'regular procedure applies',b'request complete',b'term for supplying missing data',b'retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'MER present in supplement',b'WAW permit aspect',b'treat subcases completeness',b'subcases completeness completed',b'terminate on request',b'objection to extension procedure term receptive',b'activities regular procedure',b'regular procedure applies',b'request complete',b'phase application receptive',b'WAW permit aspect',b'decision extension procedure term irrevocable',b'treat subcases content',b'completed subcases content',b'article 34  WABO applies',b'phase advice known',b'assessment of content completed',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'by law',b'creating environmental permit decision',b'enter senddate decision environmental permit',b'register date environmental permit decision',b'generating decision environmental permit',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generate publication document decision environmental permit',b'enter date publication decision environmental permit',b'objection lodged against decision',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
